city,date,crime_index
Delhi,2026-04-01,61.82
Delhi,2026-05-01,64.56
Delhi,2026-06-01,59.69
Delhi,2026-07-01,55.77
Delhi,2026-08-01,58.76
Uttar Pradesh,2020-01-01,56.59
Uttar Pradesh,2020-02-01,55.79
Uttar Pradesh,2020-03-01,58.24
Uttar Pradesh,2020-04-01,32.59
Uttar Pradesh,2020-05-01,31.86
Uttar Pradesh,2020-06-01,33.55
Uttar Pradesh,2020-07-01,28.72
Uttar Pradesh,2020-08-01,52.63
Uttar Pradesh,2020-09-01,50.38
Uttar Pradesh,2020-10-01,46.51
Uttar Pradesh,2020-11-01,51.76
Uttar Pradesh,2020-12-01,50.87
Uttar Pradesh,2021-01-01,55.5
Uttar Pradesh,2021-02-01,59.72
Uttar Pradesh,2021-03-01,58.54
Uttar Pradesh,2021-04-01,46.85
Uttar Pradesh,2021-05-01,43.25
Uttar Pradesh,2021-06-01,57.83
Uttar Pradesh,2021-07-01,52.79
Uttar Pradesh,2021-08-01,52.21
Uttar Pradesh,2021-09-01,50.96
Uttar Pradesh,2021-10-01,50.74
Uttar Pradesh,2021-11-01,50.93
Uttar Pradesh,2021-12-01,50.2
Uttar Pradesh,2022-01-01,54.74
Uttar Pradesh,2022-02-01,60.2
Uttar Pradesh,2022-03-01,57.28
Uttar Pradesh,2022-04-01,60.86
Uttar Pradesh,2022-05-01,55.59
Uttar Pradesh,2022-06-01,57.79
Uttar Pradesh,2022-07-01,51.28
Uttar Pradesh,2022-08-01,50.53
Uttar Pradesh,2022-09-01,48.72
Uttar Pradesh,2022-10-01,49.02
Uttar Pradesh,2022-11-01,50.21
Uttar Pradesh,2022-12-01,53.82
Uttar Pradesh,2023-01-01,56.91
Uttar Pradesh,2023-02-01,58.87
Uttar Pradesh,2023-03-01,58.59
Uttar Pradesh,2023-04-01,58.23
Uttar Pradesh,2023-05-01,55.31
Uttar Pradesh,2023-06-01,58.17
Uttar Pradesh,2023-07-01,54.52
Uttar Pradesh,2023-08-01,49.68
Uttar Pradesh,2023-09-01,48.93
Uttar Pradesh,2023-10-01,48.21
Uttar Pradesh,2023-11-01,49.65
Uttar Pradesh,2023-12-01,48.12
Uttar Pradesh,2024-01-01,55.05
Uttar Pradesh,2024-02-01,54.02
Uttar Pradesh,2024-03-01,57.46
Uttar Pradesh,2024-04-01,60.19
Uttar Pradesh,2024-05-01,58.32
Uttar Pradesh,2024-06-01,57.48
Uttar Pradesh,2024-07-01,52.94
Uttar Pradesh,2024-08-01,50.77
Uttar Pradesh,2024-09-01,50.36
Uttar Pradesh,2024-10-01,49.05
Uttar Pradesh,2024-11-01,46.3
Uttar Pradesh,2024-12-01,49.16
Uttar Pradesh,2025-01-01,51.52
Uttar Pradesh,2025-02-01,55.26
Uttar Pradesh,2025-03-01,57.81
Uttar Pradesh,2025-04-01,57.38
Uttar Pradesh,2025-05-01,58.3
Uttar Pradesh,2025-06-01,60.21
Uttar Pradesh,2025-07-01,54.29
Uttar Pradesh,2025-08-01,52.28
Uttar Pradesh,2025-09-01,48.87
Uttar Pradesh,2025-10-01,47.93
Uttar Pradesh,2025-11-01,50.59
Uttar Pradesh,2025-12-01,51.81
Uttar Pradesh,2026-01-01,53.18
Uttar Pradesh,2026-02-01,53.51
Uttar Pradesh,2026-03-01,55.7
Uttar Pradesh,2026-04-01,59.54
Uttar Pradesh,2026-05-01,59.56
Uttar Pradesh,2026-06-01,53.18
Uttar Pradesh,2026-07-01,51.21
Uttar Pradesh,2026-08-01,49.64
Punjab,2020-01-01,38.01
Punjab,2020-02-01,41.05
Punjab,2020-03-01,46.38
Punjab,2020-04-01,22.18
Punjab,2020-05-01,20.85
Punjab,2020-06-01,18.16
Punjab,2020-07-01,18.23
Punjab,2020-08-01,38.68
Punjab,2020-09-01,34.66
Punjab,2020-10-01,38.01
Punjab,2020-11-01,35.92
Punjab,2020-12-01,38.52
Punjab,2021-01-01,41.59
Punjab,2021-02-01,44.84
Punjab,2021-03-01,46.66
Punjab,2021-04-01,33.96
Punjab,2021-05-01,38.04
Punjab,2021-06-01,44.92
Punjab,2021-07-01,40.63
Punjab,2021-08-01,40.85
Punjab,2021-09-01,36.13
Punjab,2021-10-01,41.95
Punjab,2021-11-01,35.19
Punjab,2021-12-01,38.35
Punjab,2022-01-01,40.31
Punjab,2022-02-01,47.38
Punjab,2022-03-01,49.2
Punjab,2022-04-01,44.66
Punjab,2022-05-01,43.75
Punjab,2022-06-01,46.34
Punjab,2022-07-01,41.26
Punjab,2022-08-01,40.49
Punjab,2022-09-01,39.07
Punjab,2022-10-01,37.68
Punjab,2022-11-01,35.04
Punjab,2022-12-01,41.13
Punjab,2023-01-01,42.26
Punjab,2023-02-01,43.88
Punjab,2023-03-01,44.12
Punjab,2023-04-01,48.15
Punjab,2023-05-01,43.56
Punjab,2023-06-01,42.45
Punjab,2023-07-01,41.28
Punjab,2023-08-01,38.39
Punjab,2023-09-01,37.36
Punjab,2023-10-01,39.56
Punjab,2023-11-01,38.3
Punjab,2023-12-01,45.24
Punjab,2024-01-01,42.05
Punjab,2024-02-01,40.56
Punjab,2024-03-01,45.98
Punjab,2024-04-01,47.69
Punjab,2024-05-01,44.81
Punjab,2024-06-01,43.42
Punjab,2024-07-01,38.76
Punjab,2024-08-01,38.16
Punjab,2024-09-01,36.46
Punjab,2024-10-01,36.4
Punjab,2024-11-01,35.49
Punjab,2024-12-01,39.41
Punjab,2025-01-01,41.82
Punjab,2025-02-01,42.93
Punjab,2025-03-01,38.78
Punjab,2025-04-01,46.5
Punjab,2025-05-01,43.9
Punjab,2025-06-01,45.59
Punjab,2025-07-01,41.51
Punjab,2025-08-01,34.57
Punjab,2025-09-01,34.29
Punjab,2025-10-01,38.51
Punjab,2025-11-01,39.85
Punjab,2025-12-01,39.38
Punjab,2026-01-01,44.0
Punjab,2026-02-01,43.16
Punjab,2026-03-01,45.33
Punjab,2026-04-01,43.51
Punjab,2026-05-01,39.23
Punjab,2026-06-01,41.9
Punjab,2026-07-01,44.76
Punjab,2026-08-01,37.75
Haryana,2020-01-01,47.81
Haryana,2020-02-01,50.85
Haryana,2020-03-01,56.18
Haryana,2020-04-01,31.98
Haryana,2020-05-01,30.65
Haryana,2020-06-01,27.96
Haryana,2020-07-01,28.03
Haryana,2020-08-01,48.48
Haryana,2020-09-01,44.46
Haryana,2020-10-01,47.81
Haryana,2020-11-01,45.72
Haryana,2020-12-01,48.32
Haryana,2021-01-01,51.39
Haryana,2021-02-01,54.64
Haryana,2021-03-01,56.46
Haryana,2021-04-01,43.76
Haryana,2021-05-01,47.84
Haryana,2021-06-01,54.72
Haryana,2021-07-01,50.43
Haryana,2021-08-01,50.65
Haryana,2021-09-01,45.93
Haryana,2021-10-01,51.75
Haryana,2021-11-01,44.99
Haryana,2021-12-01,48.15
Haryana,2022-01-01,50.11
Haryana,2022-02-01,57.18
Haryana,2022-03-01,59.0
Haryana,2022-04-01,54.46
Haryana,2022-05-01,53.55
Haryana,2022-06-01,56.14
Haryana,2022-07-01,51.06
Haryana,2022-08-01,50.29
Haryana,2022-09-01,48.87
Haryana,2022-10-01,47.48
Haryana,2022-11-01,44.84
Haryana,2022-12-01,50.93
Haryana,2023-01-01,52.06
Haryana,2023-02-01,53.68
Haryana,2023-03-01,53.92
Haryana,2023-04-01,57.95
Haryana,2023-05-01,53.36
Haryana,2023-06-01,52.25
Haryana,2023-07-01,51.08
Haryana,2023-08-01,48.19
Haryana,2023-09-01,47.16
Haryana,2023-10-01,49.36
Haryana,2023-11-01,48.1
Haryana,2023-12-01,55.04
Haryana,2024-01-01,51.85
Haryana,2024-02-01,50.36
Haryana,2024-03-01,55.78
Haryana,2024-04-01,57.49
Haryana,2024-05-01,54.61
Haryana,2024-06-01,53.22
Haryana,2024-07-01,48.56
Haryana,2024-08-01,47.96
Haryana,2024-09-01,46.26
Haryana,2024-10-01,46.2
Haryana,2024-11-01,45.29
Haryana,2024-12-01,49.21
Haryana,2025-01-01,51.62
Haryana,2025-02-01,52.73
Haryana,2025-03-01,48.58
Haryana,2025-04-01,56.3
Haryana,2025-05-01,53.7
Haryana,2025-06-01,55.39
Haryana,2025-07-01,51.31
Haryana,2025-08-01,44.37
Haryana,2025-09-01,44.09
Haryana,2025-10-01,48.31
Haryana,2025-11-01,49.65
Haryana,2025-12-01,49.18
Haryana,2026-01-01,53.8
Haryana,2026-02-01,52.96
Haryana,2026-03-01,55.13
Haryana,2026-04-01,53.31
Haryana,2026-05-01,49.03
Haryana,2026-06-01,51.7
Haryana,2026-07-01,54.56
Haryana,2026-08-01,47.55
Himachal Pradesh,2020-01-01,37.89
Himachal Pradesh,2020-02-01,36.26
Himachal Pradesh,2020-03-01,36.21
Himachal Pradesh,2020-04-01,14.3
Himachal Pradesh,2020-05-01,10.92
Himachal Pradesh,2020-06-01,13.82
Himachal Pradesh,2020-07-01,12.2
Himachal Pradesh,2020-08-01,31.54
Himachal Pradesh,2020-09-01,30.7
Himachal Pradesh,2020-10-01,26.82
Himachal Pradesh,2020-11-01,28.32
Himachal Pradesh,2020-12-01,32.97
Himachal Pradesh,2021-01-01,35.38
Himachal Pradesh,2021-02-01,36.42
Himachal Pradesh,2021-03-01,38.25
Himachal Pradesh,2021-04-01,26.47
Himachal Pradesh,2021-05-01,26.7
Himachal Pradesh,2021-06-01,34.64
Himachal Pradesh,2021-07-01,35.21
Himachal Pradesh,2021-08-01,29.22
Himachal Pradesh,2021-09-01,31.38
Himachal Pradesh,2021-10-01,29.13
Himachal Pradesh,2021-11-01,31.42
Himachal Pradesh,2021-12-01,30.25
Himachal Pradesh,2022-01-01,35.6
Himachal Pradesh,2022-02-01,35.16
Himachal Pradesh,2022-03-01,35.45
Himachal Pradesh,2022-04-01,39.62
Himachal Pradesh,2022-05-01,40.39
Himachal Pradesh,2022-06-01,37.96
Himachal Pradesh,2022-07-01,33.17
Himachal Pradesh,2022-08-01,28.5
Himachal Pradesh,2022-09-01,28.82
Himachal Pradesh,2022-10-01,30.12
Himachal Pradesh,2022-11-01,30.74
Himachal Pradesh,2022-12-01,30.6
Himachal Pradesh,2023-01-01,34.79
Himachal Pradesh,2023-02-01,36.19
Himachal Pradesh,2023-03-01,42.46
Himachal Pradesh,2023-04-01,36.37
Himachal Pradesh,2023-05-01,41.43
Himachal Pradesh,2023-06-01,36.14
Himachal Pradesh,2023-07-01,33.56
Himachal Pradesh,2023-08-01,29.65
Himachal Pradesh,2023-09-01,30.07
Himachal Pradesh,2023-10-01,29.39
Himachal Pradesh,2023-11-01,31.65
Himachal Pradesh,2023-12-01,33.5
Himachal Pradesh,2024-01-01,32.96
Himachal Pradesh,2024-02-01,38.98
Himachal Pradesh,2024-03-01,39.25
Himachal Pradesh,2024-04-01,40.0
Himachal Pradesh,2024-05-01,38.37
Himachal Pradesh,2024-06-01,37.22
Himachal Pradesh,2024-07-01,35.69
Himachal Pradesh,2024-08-01,32.32
Himachal Pradesh,2024-09-01,29.34
Himachal Pradesh,2024-10-01,25.92
Himachal Pradesh,2024-11-01,32.5
Himachal Pradesh,2024-12-01,33.19
Himachal Pradesh,2025-01-01,34.67
Himachal Pradesh,2025-02-01,35.47
Himachal Pradesh,2025-03-01,35.34
Himachal Pradesh,2025-04-01,37.74
Himachal Pradesh,2025-05-01,35.09
Himachal Pradesh,2025-06-01,37.46
Himachal Pradesh,2025-07-01,35.57
Himachal Pradesh,2025-08-01,35.52
Himachal Pradesh,2025-09-01,29.53
Himachal Pradesh,2025-10-01,28.83
Himachal Pradesh,2025-11-01,31.32
Himachal Pradesh,2025-12-01,33.78
Himachal Pradesh,2026-01-01,31.3
Himachal Pradesh,2026-02-01,37.86
Himachal Pradesh,2026-03-01,43.19
Himachal Pradesh,2026-04-01,40.26
Himachal Pradesh,2026-05-01,38.57
Himachal Pradesh,2026-06-01,37.88
Himachal Pradesh,2026-07-01,38.99
Himachal Pradesh,2026-08-01,32.29
Uttarakhand,2020-01-01,40.31
Uttarakhand,2020-02-01,38.56
Uttarakhand,2020-03-01,44.84
Uttarakhand,2020-04-01,22.01
Uttarakhand,2020-05-01,16.39
Uttarakhand,2020-06-01,16.68
Uttarakhand,2020-07-01,12.02
Uttarakhand,2020-08-01,35.5
Uttarakhand,2020-09-01,39.07
Uttarakhand,2020-10-01,36.9
Uttarakhand,2020-11-01,39.51
Uttarakhand,2020-12-01,38.72
Uttarakhand,2021-01-01,40.78
Uttarakhand,2021-02-01,41.46
Uttarakhand,2021-03-01,42.79
Uttarakhand,2021-04-01,33.33
Uttarakhand,2021-05-01,32.26
Uttarakhand,2021-06-01,41.43
Uttarakhand,2021-07-01,36.39
Uttarakhand,2021-08-01,38.11
Uttarakhand,2021-09-01,36.22
Uttarakhand,2021-10-01,39.62
Uttarakhand,2021-11-01,32.45
Uttarakhand,2021-12-01,35.95
Uttarakhand,2022-01-01,39.27
Uttarakhand,2022-02-01,41.16
Uttarakhand,2022-03-01,45.63
Uttarakhand,2022-04-01,46.01
Uttarakhand,2022-05-01,46.52
Uttarakhand,2022-06-01,45.45
Uttarakhand,2022-07-01,39.72
Uttarakhand,2022-08-01,39.97
Uttarakhand,2022-09-01,37.79
Uttarakhand,2022-10-01,34.24
Uttarakhand,2022-11-01,37.2
Uttarakhand,2022-12-01,37.56
Uttarakhand,2023-01-01,42.23
Uttarakhand,2023-02-01,42.6
Uttarakhand,2023-03-01,46.86
Uttarakhand,2023-04-01,43.83
Uttarakhand,2023-05-01,43.84
Uttarakhand,2023-06-01,42.69
Uttarakhand,2023-07-01,42.53
Uttarakhand,2023-08-01,40.94
Uttarakhand,2023-09-01,39.52
Uttarakhand,2023-10-01,37.48
Uttarakhand,2023-11-01,34.85
Uttarakhand,2023-12-01,39.16
Uttarakhand,2024-01-01,42.06
Uttarakhand,2024-02-01,43.05
Uttarakhand,2024-03-01,43.07
Uttarakhand,2024-04-01,46.39
Uttarakhand,2024-05-01,44.96
Uttarakhand,2024-06-01,44.15
Uttarakhand,2024-07-01,42.89
Uttarakhand,2024-08-01,40.99
Uttarakhand,2024-09-01,39.61
Uttarakhand,2024-10-01,38.91
Uttarakhand,2024-11-01,35.49
Uttarakhand,2024-12-01,41.66
Uttarakhand,2025-01-01,42.99
Uttarakhand,2025-02-01,43.7
Uttarakhand,2025-03-01,45.79
Uttarakhand,2025-04-01,47.32
Uttarakhand,2025-05-01,47.62
Uttarakhand,2025-06-01,44.94
Uttarakhand,2025-07-01,41.78
Uttarakhand,2025-08-01,41.38
Uttarakhand,2025-09-01,37.22
Uttarakhand,2025-10-01,35.92
Uttarakhand,2025-11-01,37.27
Uttarakhand,2025-12-01,40.94
Uttarakhand,2026-01-01,42.73
Uttarakhand,2026-02-01,43.51
Uttarakhand,2026-03-01,48.29
Uttarakhand,2026-04-01,51.5
Uttarakhand,2026-05-01,41.25
Uttarakhand,2026-06-01,45.42
Uttarakhand,2026-07-01,43.27
Uttarakhand,2026-08-01,42.81
Jammu and Kashmir,2020-01-01,46.59
Jammu and Kashmir,2020-02-01,49.91
Jammu and Kashmir,2020-03-01,50.62
Jammu and Kashmir,2020-04-01,22.14
Jammu and Kashmir,2020-05-01,24.08
Jammu and Kashmir,2020-06-01,21.44
Jammu and Kashmir,2020-07-01,21.29
Jammu and Kashmir,2020-08-01,41.8
Jammu and Kashmir,2020-09-01,39.54
Jammu and Kashmir,2020-10-01,41.26
Jammu and Kashmir,2020-11-01,40.13
Jammu and Kashmir,2020-12-01,43.83
Jammu and Kashmir,2021-01-01,46.05
Jammu and Kashmir,2021-02-01,48.74
Jammu and Kashmir,2021-03-01,50.27
Jammu and Kashmir,2021-04-01,38.79
Jammu and Kashmir,2021-05-01,40.89
Jammu and Kashmir,2021-06-01,49.6
Jammu and Kashmir,2021-07-01,45.72
Jammu and Kashmir,2021-08-01,42.67
Jammu and Kashmir,2021-09-01,43.26
Jammu and Kashmir,2021-10-01,41.37
Jammu and Kashmir,2021-11-01,41.9
Jammu and Kashmir,2021-12-01,42.66
Jammu and Kashmir,2022-01-01,48.02
Jammu and Kashmir,2022-02-01,48.97
Jammu and Kashmir,2022-03-01,47.35
Jammu and Kashmir,2022-04-01,53.1
Jammu and Kashmir,2022-05-01,47.91
Jammu and Kashmir,2022-06-01,48.53
Jammu and Kashmir,2022-07-01,44.11
Jammu and Kashmir,2022-08-01,43.04
Jammu and Kashmir,2022-09-01,43.49
Jammu and Kashmir,2022-10-01,40.55
Jammu and Kashmir,2022-11-01,39.7
Jammu and Kashmir,2022-12-01,46.15
Jammu and Kashmir,2023-01-01,44.83
Jammu and Kashmir,2023-02-01,48.82
Jammu and Kashmir,2023-03-01,51.37
Jammu and Kashmir,2023-04-01,45.43
Jammu and Kashmir,2023-05-01,51.84
Jammu and Kashmir,2023-06-01,50.64
Jammu and Kashmir,2023-07-01,43.5
Jammu and Kashmir,2023-08-01,43.9
Jammu and Kashmir,2023-09-01,41.95
Jammu and Kashmir,2023-10-01,36.69
Jammu and Kashmir,2023-11-01,39.95
Jammu and Kashmir,2023-12-01,43.96
Jammu and Kashmir,2024-01-01,45.62
Jammu and Kashmir,2024-02-01,53.12
Jammu and Kashmir,2024-03-01,51.49
Jammu and Kashmir,2024-04-01,49.99
Jammu and Kashmir,2024-05-01,52.21
Jammu and Kashmir,2024-06-01,49.83
Jammu and Kashmir,2024-07-01,47.66
Jammu and Kashmir,2024-08-01,46.5
Jammu and Kashmir,2024-09-01,39.67
Jammu and Kashmir,2024-10-01,39.22
Jammu and Kashmir,2024-11-01,42.03
Jammu and Kashmir,2024-12-01,42.19
Jammu and Kashmir,2025-01-01,48.73
Jammu and Kashmir,2025-02-01,47.45
Jammu and Kashmir,2025-03-01,51.89
Jammu and Kashmir,2025-04-01,47.86
Jammu and Kashmir,2025-05-01,50.27
Jammu and Kashmir,2025-06-01,50.04
Jammu and Kashmir,2025-07-01,44.7
Jammu and Kashmir,2025-08-01,45.86
Jammu and Kashmir,2025-09-01,38.57
Jammu and Kashmir,2025-10-01,38.28
Jammu and Kashmir,2025-11-01,44.72
Jammu and Kashmir,2025-12-01,42.21
Jammu and Kashmir,2026-01-01,43.95
Jammu and Kashmir,2026-02-01,48.41
Jammu and Kashmir,2026-03-01,49.55
Jammu and Kashmir,2026-04-01,50.03
Jammu and Kashmir,2026-05-01,49.17
Jammu and Kashmir,2026-06-01,49.88
Jammu and Kashmir,2026-07-01,43.45
Jammu and Kashmir,2026-08-01,37.57
Ladakh,2020-01-01,25.84
Ladakh,2020-02-01,28.6
Ladakh,2020-03-01,29.48
Ladakh,2020-04-01,7.73
Ladakh,2020-05-01,5.0
Ladakh,2020-06-01,5.0
Ladakh,2020-07-01,5.0
Ladakh,2020-08-01,22.11
Ladakh,2020-09-01,18.93
Ladakh,2020-10-01,20.82
Ladakh,2020-11-01,24.18
Ladakh,2020-12-01,21.26
Ladakh,2021-01-01,26.46
Ladakh,2021-02-01,27.38
Ladakh,2021-03-01,31.6
Ladakh,2021-04-01,19.74
Ladakh,2021-05-01,19.17
Ladakh,2021-06-01,25.6
Ladakh,2021-07-01,22.99
Ladakh,2021-08-01,22.36
Ladakh,2021-09-01,22.74
Ladakh,2021-10-01,20.25
Ladakh,2021-11-01,18.62
Ladakh,2021-12-01,23.68
Ladakh,2022-01-01,27.36
Ladakh,2022-02-01,27.16
Ladakh,2022-03-01,27.69
Ladakh,2022-04-01,27.88
Ladakh,2022-05-01,30.73
Ladakh,2022-06-01,27.37
Ladakh,2022-07-01,23.37
Ladakh,2022-08-01,25.62
Ladakh,2022-09-01,21.84
Ladakh,2022-10-01,22.89
Ladakh,2022-11-01,19.06
Ladakh,2022-12-01,27.14
Ladakh,2023-01-01,25.27
Ladakh,2023-02-01,28.19
Ladakh,2023-03-01,24.67
Ladakh,2023-04-01,28.67
Ladakh,2023-05-01,25.22
Ladakh,2023-06-01,30.75
Ladakh,2023-07-01,24.53
Ladakh,2023-08-01,22.62
Ladakh,2023-09-01,22.86
Ladakh,2023-10-01,20.62
Ladakh,2023-11-01,19.08
Ladakh,2023-12-01,21.01
Ladakh,2024-01-01,21.36
Ladakh,2024-02-01,25.68
Ladakh,2024-03-01,30.16
Ladakh,2024-04-01,29.51
Ladakh,2024-05-01,29.94
Ladakh,2024-06-01,25.14
Ladakh,2024-07-01,24.35
Ladakh,2024-08-01,18.93
Ladakh,2024-09-01,17.45
Ladakh,2024-10-01,21.49
Ladakh,2024-11-01,20.2
Ladakh,2024-12-01,18.36
Ladakh,2025-01-01,24.66
Ladakh,2025-02-01,27.01
Ladakh,2025-03-01,29.46
Ladakh,2025-04-01,31.95
Ladakh,2025-05-01,30.15
Ladakh,2025-06-01,23.31
Ladakh,2025-07-01,26.79
Ladakh,2025-08-01,19.14
Ladakh,2025-09-01,20.19
Ladakh,2025-10-01,16.23
Ladakh,2025-11-01,18.92
Ladakh,2025-12-01,22.31
Ladakh,2026-01-01,20.22
Ladakh,2026-02-01,28.45
Ladakh,2026-03-01,28.7
Ladakh,2026-04-01,33.02
Ladakh,2026-05-01,25.2
Ladakh,2026-06-01,23.85
Ladakh,2026-07-01,23.15
Ladakh,2026-08-01,19.84
Chandigarh,2020-01-01,33.81
Chandigarh,2020-02-01,36.85
Chandigarh,2020-03-01,42.18
Chandigarh,2020-04-01,17.98
Chandigarh,2020-05-01,16.65
Chandigarh,2020-06-01,13.96
Chandigarh,2020-07-01,14.03
Chandigarh,2020-08-01,34.48
Chandigarh,2020-09-01,30.46
Chandigarh,2020-10-01,33.81
Chandigarh,2020-11-01,31.72
Chandigarh,2020-12-01,34.32
Chandigarh,2021-01-01,37.39
Chandigarh,2021-02-01,40.64
Chandigarh,2021-03-01,42.46
Chandigarh,2021-04-01,29.76
Chandigarh,2021-05-01,33.84
Chandigarh,2021-06-01,40.72
Chandigarh,2021-07-01,36.43
Chandigarh,2021-08-01,36.65
Chandigarh,2021-09-01,31.93
Chandigarh,2021-10-01,37.75
Chandigarh,2021-11-01,30.99
Chandigarh,2021-12-01,34.15
Chandigarh,2022-01-01,36.11
Chandigarh,2022-02-01,43.18
Chandigarh,2022-03-01,45.0
Chandigarh,2022-04-01,40.46
Chandigarh,2022-05-01,39.55
Chandigarh,2022-06-01,42.14
Chandigarh,2022-07-01,37.06
Chandigarh,2022-08-01,36.29
Chandigarh,2022-09-01,34.87
Chandigarh,2022-10-01,33.48
Chandigarh,2022-11-01,30.84
Chandigarh,2022-12-01,36.93
Chandigarh,2023-01-01,38.06
Chandigarh,2023-02-01,39.68
Chandigarh,2023-03-01,39.92
Chandigarh,2023-04-01,43.95
Chandigarh,2023-05-01,39.36
Chandigarh,2023-06-01,38.25
Chandigarh,2023-07-01,37.08
Chandigarh,2023-08-01,34.19
Chandigarh,2023-09-01,33.16
Chandigarh,2023-10-01,35.36
Chandigarh,2023-11-01,34.1
Chandigarh,2023-12-01,41.04
Chandigarh,2024-01-01,37.85
Chandigarh,2024-02-01,36.36
Chandigarh,2024-03-01,41.78
Chandigarh,2024-04-01,43.49
Chandigarh,2024-05-01,40.61
Chandigarh,2024-06-01,39.22
Chandigarh,2024-07-01,34.56
Chandigarh,2024-08-01,33.96
Chandigarh,2024-09-01,32.26
Chandigarh,2024-10-01,32.2
Chandigarh,2024-11-01,31.29
Chandigarh,2024-12-01,35.21
Chandigarh,2025-01-01,37.62
Chandigarh,2025-02-01,38.73
Chandigarh,2025-03-01,34.58
Chandigarh,2025-04-01,42.3
Chandigarh,2025-05-01,39.7
Chandigarh,2025-06-01,41.39
Chandigarh,2025-07-01,37.31
Chandigarh,2025-08-01,30.37
Chandigarh,2025-09-01,30.09
Chandigarh,2025-10-01,34.31
Chandigarh,2025-11-01,35.65
Chandigarh,2025-12-01,35.18
Chandigarh,2026-01-01,39.8
Chandigarh,2026-02-01,38.96
Chandigarh,2026-03-01,41.13
Chandigarh,2026-04-01,39.31
Chandigarh,2026-05-01,35.03
Chandigarh,2026-06-01,37.7
Chandigarh,2026-07-01,40.56
Chandigarh,2026-08-01,33.55
Maharashtra,2020-01-01,50.16
Maharashtra,2020-02-01,52.17
Maharashtra,2020-03-01,53.19
Maharashtra,2020-04-01,28.28
Maharashtra,2020-05-01,26.67
Maharashtra,2020-06-01,27.58
Maharashtra,2020-07-01,22.5
Maharashtra,2020-08-01,46.58
Maharashtra,2020-09-01,43.07
Maharashtra,2020-10-01,43.93
Maharashtra,2020-11-01,45.79
Maharashtra,2020-12-01,42.95
Maharashtra,2021-01-01,48.5
Maharashtra,2021-02-01,50.51
Maharashtra,2021-03-01,52.85
Maharashtra,2021-04-01,39.03
Maharashtra,2021-05-01,41.02
Maharashtra,2021-06-01,54.02
Maharashtra,2021-07-01,49.4
Maharashtra,2021-08-01,45.39
Maharashtra,2021-09-01,42.76
Maharashtra,2021-10-01,40.76
Maharashtra,2021-11-01,43.23
Maharashtra,2021-12-01,42.5
Maharashtra,2022-01-01,48.77
Maharashtra,2022-02-01,55.49
Maharashtra,2022-03-01,50.32
Maharashtra,2022-04-01,51.7
Maharashtra,2022-05-01,56.81
Maharashtra,2022-06-01,52.46
Maharashtra,2022-07-01,49.19
Maharashtra,2022-08-01,45.85
Maharashtra,2022-09-01,43.44
Maharashtra,2022-10-01,43.61
Maharashtra,2022-11-01,47.73
Maharashtra,2022-12-01,46.2
Maharashtra,2023-01-01,47.29
Maharashtra,2023-02-01,53.04
Maharashtra,2023-03-01,54.94
