state,district,taluk,latitude,longitude,streetlights,population_density,patrol_frequency,base_crime_rate,hour,day_of_week,seed,safety_score,safety_level,incident_occurred,crime_type
Delhi,New Delhi,New Delhi East,28.50064,77.07679,0.89,0.48,0.29,0.79,19,4,33,53.88,1,0,None
Delhi,New Delhi,New Delhi East,28.47995,77.08849,0.9,0.48,0.36,0.79,3,6,34,48.69,0,0,None
Delhi,New Delhi,New Delhi East,28.48679,77.07093,0.75,0.48,0.41,0.79,10,6,35,59.06,1,0,None
Delhi,New Delhi,New Delhi East,28.48946,77.08474,0.94,0.48,0.31,0.79,0,1,36,49.73,0,1,Pickpocketing
Delhi,New Delhi,New Delhi East,28.50494,77.0626,0.76,0.48,0.55,0.79,12,1,37,64.0,1,0,None
Delhi,New Delhi,New Delhi East,28.49817,77.09557,0.86,0.48,0.46,0.79,22,2,38,49.86,0,1,Pickpocketing
Delhi,New Delhi,New Delhi East,28.49019,77.07327,0.82,0.48,0.32,0.79,1,1,39,45.85,0,1,Eve Teasing
Delhi,New Delhi,New Delhi East,28.49454,77.07208,0.75,0.48,0.35,0.79,4,3,40,41.64,0,1,Eve Teasing
Delhi,New Delhi,New Delhi East,28.49176,77.0751,0.8,0.48,0.44,0.79,1,4,41,45.78,0,0,None
Delhi,New Delhi,New Delhi East,28.49361,77.08964,0.87,0.48,0.47,0.79,13,4,42,66.25,1,1,Eve Teasing
Delhi,New Delhi,New Delhi East,28.49167,77.07608,0.78,0.48,0.28,0.79,20,6,43,50.41,1,0,None
Delhi,New Delhi,New Delhi East,28.4855,77.09028,0.75,0.48,0.48,0.79,16,3,44,61.6,1,0,None
Delhi,North Delhi,North Delhi Central,28.43606,77.10262,0.87,0.79,0.75,0.7,18,3,45,64.98,1,0,None
Delhi,North Delhi,North Delhi Central,28.44235,77.08996,0.91,0.79,0.64,0.7,21,3,46,64.73,1,0,None
Delhi,North Delhi,North Delhi Central,28.45011,77.09358,0.83,0.79,0.7,0.7,18,3,47,61.7,1,1,Stalking
Delhi,North Delhi,North Delhi Central,28.45071,77.08218,0.91,0.79,0.68,0.7,17,2,48,72.41,1,0,None
Delhi,North Delhi,North Delhi Central,28.43176,77.09691,0.81,0.79,0.86,0.7,6,2,49,72.96,1,0,None
Delhi,North Delhi,North Delhi Central,28.4337,77.09287,0.89,0.79,0.83,0.7,22,4,50,58.14,1,0,None
Delhi,North Delhi,North Delhi Central,28.44002,77.10158,0.8,0.79,0.64,0.7,4,6,51,52.01,1,0,None
Delhi,North Delhi,North Delhi Central,28.44116,77.09108,0.84,0.79,0.68,0.7,16,5,52,71.82,1,0,None
Delhi,North Delhi,North Delhi Central,28.43012,77.08594,0.85,0.79,0.88,0.7,0,5,53,59.31,1,0,None
Delhi,North Delhi,North Delhi Central,28.4496,77.09826,1.0,0.79,0.66,0.7,22,4,54,58.85,1,0,None
Delhi,North Delhi,North Delhi Central,28.43162,77.09529,0.9,0.79,0.59,0.7,0,0,55,53.68,1,0,None
Delhi,North Delhi,North Delhi Central,28.43945,77.08199,0.78,0.79,0.61,0.7,1,6,56,49.86,0,0,None
Delhi,North Delhi,North Delhi Central,28.44501,77.08816,0.71,0.79,0.68,0.7,23,6,57,49.37,0,0,None
Delhi,North Delhi,North Delhi Central,28.43866,77.1025,1.0,0.79,0.5,0.7,2,0,58,56.74,1,0,None
Delhi,North Delhi,North Delhi Central,28.42345,77.07665,0.89,0.79,0.63,0.7,3,4,59,54.03,1,0,None
Delhi,North Delhi,North Delhi West,28.54117,77.07663,0.6,0.42,0.34,0.75,22,1,60,36.13,0,1,Harassment
Delhi,North Delhi,North Delhi West,28.52474,77.07247,0.67,0.42,0.41,0.75,17,2,61,59.12,1,1,Pickpocketing
Delhi,North Delhi,North Delhi West,28.53295,77.074,0.85,0.42,0.31,0.75,10,1,62,62.94,1,1,Pickpocketing
Delhi,North Delhi,North Delhi West,28.52521,77.08288,0.83,0.42,0.2,0.75,21,1,63,49.16,0,0,None
Delhi,North Delhi,North Delhi West,28.53833,77.08561,0.68,0.42,0.4,0.75,17,0,64,60.75,1,0,None
Delhi,North Delhi,North Delhi West,28.51357,77.07039,0.74,0.42,0.29,0.75,20,3,65,49.12,0,0,None
Delhi,North Delhi,North Delhi West,28.5251,77.09371,0.84,0.42,0.25,0.75,1,0,66,46.27,0,0,None
Delhi,North Delhi,North Delhi West,28.52075,77.08838,0.9,0.42,0.14,0.75,10,5,67,62.18,1,0,None
Delhi,North Delhi,North Delhi West,28.53059,77.08437,0.73,0.42,0.41,0.75,9,3,68,60.41,1,0,None
Delhi,North Delhi,North Delhi West,28.53103,77.07614,0.69,0.42,0.53,0.75,20,6,69,53.92,1,0,None
Delhi,North Delhi,North Delhi West,28.5246,77.07282,0.81,0.42,0.47,0.75,20,1,70,56.85,1,0,None
Delhi,North Delhi,North Delhi West,28.53085,77.08398,0.87,0.42,0.13,0.75,14,5,71,59.52,1,1,Pickpocketing
Delhi,North Delhi,North Delhi West,28.51988,77.09111,0.85,0.42,0.32,0.75,1,0,72,46.97,0,0,None
Delhi,North Delhi,North Delhi West,28.524,77.07865,0.9,0.42,0.26,0.75,5,2,73,48.03,0,0,None
Delhi,North Delhi,North Delhi West,28.54648,77.07364,0.78,0.42,0.41,0.75,3,1,74,46.26,0,1,Stalking
Delhi,North Delhi,North Delhi East,28.54095,77.17472,0.77,0.43,0.49,0.65,8,2,75,65.94,1,1,Pickpocketing
Delhi,North Delhi,North Delhi East,28.53224,77.1714,0.96,0.43,0.55,0.65,6,2,76,74.49,1,0,None
Delhi,North Delhi,North Delhi East,28.52687,77.18922,0.69,0.43,0.67,0.65,10,1,77,68.07,1,1,Eve Teasing
Delhi,North Delhi,North Delhi East,28.53663,77.17635,0.8,0.43,0.42,0.65,0,1,78,49.27,0,1,Eve Teasing
Delhi,North Delhi,North Delhi East,28.5289,77.19151,0.7,0.43,0.72,0.65,20,4,79,56.33,1,0,None
Delhi,North Delhi,North Delhi East,28.53189,77.17722,0.8,0.43,0.59,0.65,18,0,80,62.45,1,0,None
Delhi,North Delhi,North Delhi East,28.53301,77.18374,0.77,0.43,0.49,0.65,3,6,81,47.99,0,1,Stalking
Delhi,North Delhi,North Delhi East,28.52145,77.17445,0.72,0.43,0.51,0.65,17,5,82,66.39,1,0,None
Delhi,North Delhi,North Delhi East,28.52048,77.1843,0.73,0.43,0.54,0.65,22,2,83,49.6,0,0,None
Delhi,North Delhi,North Delhi East,28.52235,77.17784,0.8,0.43,0.66,0.65,8,3,84,70.82,1,0,None
Delhi,North Delhi,North Delhi East,28.52765,77.18029,0.7,0.43,0.5,0.65,21,4,85,55.43,1,0,None
Delhi,North Delhi,North Delhi East,28.55036,77.183,0.58,0.43,0.43,0.65,20,3,86,49.05,0,0,None
Delhi,North Delhi,North Delhi East,28.52649,77.1871,0.63,0.43,0.42,0.65,9,3,87,61.42,1,1,Pickpocketing
Delhi,North Delhi,North Delhi East,28.53236,77.18673,0.73,0.43,0.41,0.65,19,0,88,54.61,1,0,None
Delhi,North Delhi,North Delhi East,28.54898,77.1901,0.8,0.43,0.47,0.65,5,6,89,48.46,0,0,None
Delhi,South Delhi,South Delhi Central,28.74036,77.22273,0.94,0.85,0.74,0.58,7,5,90,78.28,2,0,None
Delhi,South Delhi,South Delhi Central,28.73785,77.22836,0.83,0.85,0.61,0.58,3,4,91,53.29,1,0,None
Delhi,South Delhi,South Delhi Central,28.73119,77.23037,0.74,0.85,0.74,0.58,14,4,92,72.73,1,0,None
Delhi,South Delhi,South Delhi Central,28.74214,77.21117,0.99,0.85,0.42,0.58,11,6,93,75.23,2,0,None
Delhi,South Delhi,South Delhi Central,28.74848,77.21462,0.96,0.85,0.67,0.58,15,1,94,78.44,2,0,None
Delhi,South Delhi,South Delhi Central,28.75184,77.20298,0.74,0.85,0.67,0.58,3,2,95,50.84,1,1,Pickpocketing
Delhi,South Delhi,South Delhi Central,28.73501,77.21744,0.97,0.85,0.78,0.58,4,2,96,62.97,1,1,Stalking
Delhi,South Delhi,South Delhi Central,28.73929,77.20841,1.0,0.85,0.52,0.58,2,6,97,57.15,1,1,Eve Teasing
Delhi,South Delhi,South Delhi Central,28.73624,77.20508,0.87,0.85,0.57,0.58,18,5,98,64.82,1,0,None
Delhi,South Delhi,South Delhi Central,28.75278,77.20594,0.92,0.85,0.53,0.58,1,4,99,55.76,1,1,Pickpocketing
Delhi,South Delhi,South Delhi Central,28.75613,77.21807,1.0,0.85,0.62,0.58,4,5,100,59.15,1,0,None
Delhi,South Delhi,South Delhi Central,28.74242,77.22212,0.96,0.85,0.67,0.58,16,2,101,80.41,2,0,None
Delhi,South Delhi,South Delhi Central,28.7447,77.21429,0.91,0.85,0.7,0.58,23,5,102,60.57,1,0,None
Delhi,South Delhi,South Delhi Central,28.74708,77.22467,0.94,0.85,0.61,0.58,2,3,103,57.05,1,0,None
Delhi,South Delhi,South Delhi Central,28.73759,77.20559,1.0,0.85,0.69,0.58,17,4,104,78.88,2,0,None
Delhi,South Delhi,South Delhi West,28.71134,77.25187,0.74,0.45,0.51,0.69,23,1,105,47.3,0,1,Eve Teasing
Delhi,South Delhi,South Delhi West,28.71163,77.24529,0.83,0.45,0.46,0.69,4,0,106,52.31,1,1,Stalking
Delhi,South Delhi,South Delhi West,28.70861,77.2562,0.64,0.45,0.36,0.69,2,2,107,41.04,0,1,Eve Teasing
Delhi,South Delhi,South Delhi West,28.71131,77.25054,0.72,0.45,0.34,0.69,9,6,108,60.12,1,0,None
Delhi,South Delhi,South Delhi West,28.71831,77.24717,0.73,0.45,0.38,0.69,21,6,109,52.71,1,0,None
Delhi,South Delhi,South Delhi West,28.73606,77.25779,0.8,0.45,0.44,0.69,11,1,110,65.88,1,0,None
Delhi,South Delhi,South Delhi West,28.71017,77.26124,0.81,0.45,0.43,0.69,15,0,111,64.52,1,0,None
Delhi,South Delhi,South Delhi West,28.71961,77.24561,0.69,0.45,0.41,0.69,9,2,112,63.13,1,1,Stalking
Delhi,South Delhi,South Delhi West,28.70601,77.25233,0.73,0.45,0.4,0.69,12,0,113,62.5,1,0,None
Delhi,South Delhi,South Delhi West,28.724,77.2662,0.68,0.45,0.51,0.69,0,2,114,45.13,0,1,Pickpocketing
Delhi,South Delhi,South Delhi West,28.72294,77.2552,0.62,0.45,0.46,0.69,3,5,115,42.37,0,1,Assault
Delhi,South Delhi,South Delhi West,28.70908,77.249,0.72,0.45,0.5,0.69,14,5,116,62.86,1,1,Pickpocketing
Delhi,South Delhi,South Delhi West,28.70669,77.23408,0.69,0.45,0.41,0.69,10,1,117,59.82,1,0,None
Delhi,South Delhi,South Delhi West,28.713,77.25273,0.73,0.45,0.49,0.69,1,5,118,46.86,0,0,None
Delhi,South Delhi,South Delhi West,28.72167,77.2563,0.74,0.45,0.44,0.69,2,1,119,46.14,0,0,None
Delhi,South Delhi,South Delhi East,28.6223,77.26117,0.73,0.47,0.45,0.67,20,1,120,54.95,1,0,None
Delhi,South Delhi,South Delhi East,28.63879,77.26532,0.81,0.47,0.38,0.67,15,0,121,64.94,1,0,None
Delhi,South Delhi,South Delhi East,28.62031,77.25765,0.9,0.47,0.61,0.67,20,3,122,64.43,1,0,None
Delhi,South Delhi,South Delhi East,28.61601,77.27404,0.7,0.47,0.37,0.67,16,4,123,60.56,1,0,None
Delhi,South Delhi,South Delhi East,28.63057,77.25566,0.94,0.47,0.29,0.67,6,1,124,67.54,1,0,None
Delhi,South Delhi,South Delhi East,28.61889,77.24855,0.75,0.47,0.4,0.67,0,4,125,45.55,0,0,None
Delhi,South Delhi,South Delhi East,28.62268,77.26281,0.78,0.47,0.27,0.67,14,5,126,61.39,1,0,None
Delhi,South Delhi,South Delhi East,28.63381,77.26851,0.83,0.47,0.44,0.67,10,1,127,66.38,1,0,None
Delhi,South Delhi,South Delhi East,28.62283,77.25934,0.74,0.47,0.56,0.67,9,4,128,66.25,1,0,None
Delhi,South Delhi,South Delhi East,28.62754,77.26588,0.71,0.47,0.52,0.67,2,4,129,45.42,0,0,None
Delhi,South Delhi,South Delhi East,28.62656,77.26042,0.85,0.47,0.46,0.67,22,0,130,51.02,1,0,None
Delhi,South Delhi,South Delhi East,28.61609,77.26692,0.81,0.47,0.41,0.67,17,0,131,66.2,1,0,None
Delhi,South Delhi,South Delhi East,28.6238,77.25431,0.84,0.47,0.42,0.67,10,3,132,66.3,1,1,Stalking
Delhi,South Delhi,South Delhi East,28.63295,77.25714,0.75,0.47,0.52,0.67,21,6,133,55.87,1,0,None
Delhi,South Delhi,South Delhi East,28.6208,77.27336,0.78,0.47,0.43,0.67,20,5,134,55.93,1,0,None
Delhi,East Delhi,East Delhi Central,28.73743,77.33395,0.91,0.83,0.78,0.55,14,6,135,77.89,2,0,None
Delhi,East Delhi,East Delhi Central,28.74465,77.32664,0.79,0.83,0.68,0.55,5,0,136,54.29,1,0,None
Delhi,East Delhi,East Delhi Central,28.73395,77.32714,0.73,0.83,0.72,0.55,23,2,137,53.94,1,0,None
Delhi,East Delhi,East Delhi Central,28.7437,77.33035,0.72,0.83,0.82,0.55,22,1,138,55.29,1,0,None
Delhi,East Delhi,East Delhi Central,28.74335,77.33216,0.8,0.83,0.8,0.55,20,2,139,68.9,1,1,Stalking
Delhi,East Delhi,East Delhi Central,28.73471,77.32477,0.76,0.83,0.73,0.55,20,6,140,63.98,1,0,None
Delhi,East Delhi,East Delhi Central,28.73755,77.33431,0.76,0.83,0.74,0.55,0,3,141,54.5,1,0,None
Delhi,East Delhi,East Delhi Central,28.74194,77.32664,0.87,0.83,0.76,0.55,12,0,142,77.68,2,0,None
Delhi,East Delhi,East Delhi Central,28.7424,77.32927,0.87,0.83,0.77,0.55,12,2,143,76.92,2,0,None
Delhi,East Delhi,East Delhi Central,28.74508,77.3463,0.68,0.83,0.81,0.55,2,2,144,51.35,1,1,Stalking
Delhi,East Delhi,East Delhi Central,28.73444,77.34511,0.67,0.83,0.89,0.55,17,5,145,73.32,1,0,None
Delhi,East Delhi,East Delhi Central,28.73566,77.33688,0.94,0.83,0.84,0.55,5,0,146,66.05,1,0,None
Delhi,East Delhi,East Delhi Central,28.73488,77.33833,0.81,0.83,0.63,0.55,9,1,147,74.55,1,0,None
Delhi,East Delhi,East Delhi Central,28.72399,77.32759,0.87,0.83,0.77,0.55,9,5,148,76.66,2,0,None
Delhi,East Delhi,East Delhi Central,28.737,77.33377,0.77,0.83,0.64,0.55,19,6,149,63.1,1,1,Stalking
Delhi,East Delhi,East Delhi West,28.56441,77.29582,0.86,0.39,0.41,0.59,2,2,150,42.62,0,1,Pickpocketing
Delhi,East Delhi,East Delhi West,28.57994,77.31146,0.76,0.39,0.42,0.59,14,5,151,65.81,1,0,None
Delhi,East Delhi,East Delhi West,28.58106,77.31815,0.79,0.39,0.55,0.59,10,5,152,69.87,1,0,None
Delhi,East Delhi,East Delhi West,28.57511,77.3047,0.71,0.39,0.4,0.59,17,5,153,64.65,1,0,None
Delhi,East Delhi,East Delhi West,28.56742,77.31545,0.8,0.39,0.47,0.59,7,2,154,70.96,1,0,None
Delhi,East Delhi,East Delhi West,28.5779,77.31072,0.82,0.39,0.53,0.59,20,3,155,62.17,1,0,None
Delhi,East Delhi,East Delhi West,28.57862,77.30544,0.63,0.39,0.51,0.59,20,6,156,55.08,1,0,None
Delhi,East Delhi,East Delhi West,28.56203,77.31714,0.75,0.39,0.49,0.59,10,1,157,67.93,1,0,None
Delhi,East Delhi,East Delhi West,28.58747,77.31349,0.86,0.39,0.42,0.59,1,5,158,44.45,0,1,Pickpocketing
Delhi,East Delhi,East Delhi West,28.59417,77.29884,0.73,0.39,0.39,0.59,23,4,159,36.64,0,0,None
Delhi,East Delhi,East Delhi West,28.58145,77.29867,0.79,0.39,0.33,0.59,16,6,160,65.05,1,0,None
Delhi,East Delhi,East Delhi West,28.58431,77.29923,0.8,0.39,0.32,0.59,8,0,161,65.48,1,0,None
Delhi,East Delhi,East Delhi West,28.58089,77.31093,0.65,0.39,0.38,0.59,3,1,162,34.97,0,1,Assault
Delhi,East Delhi,East Delhi West,28.57051,77.29896,0.84,0.39,0.52,0.59,17,6,163,70.58,1,0,None
Delhi,East Delhi,East Delhi West,28.59237,77.30312,0.81,0.39,0.55,0.59,2,4,164,42.27,0,1,Pickpocketing
Delhi,East Delhi,East Delhi East,28.5938,77.09155,0.77,0.41,0.42,0.67,20,3,165,56.01,1,1,Stalking
Delhi,East Delhi,East Delhi East,28.59111,77.11405,0.63,0.41,0.49,0.67,0,2,166,44.12,0,1,Pickpocketing
Delhi,East Delhi,East Delhi East,28.57766,77.11734,0.83,0.41,0.42,0.67,12,1,167,65.26,1,1,Stalking
Delhi,East Delhi,East Delhi East,28.57502,77.10832,0.77,0.41,0.48,0.67,4,3,168,49.18,0,0,None
Delhi,East Delhi,East Delhi East,28.60182,77.10767,0.78,0.41,0.44,0.67,15,5,169,66.1,1,0,None
Delhi,East Delhi,East Delhi East,28.58414,77.1102,0.7,0.41,0.55,0.67,3,4,170,47.28,0,0,None
Delhi,East Delhi,East Delhi East,28.56785,77.10392,0.75,0.41,0.33,0.67,4,2,171,45.65,0,0,None
Delhi,East Delhi,East Delhi East,28.58458,77.09972,0.66,0.41,0.56,0.67,9,1,172,65.41,1,0,None
Delhi,East Delhi,East Delhi East,28.57247,77.0955,0.6,0.41,0.4,0.67,15,4,173,59.52,1,0,None
Delhi,East Delhi,East Delhi East,28.57772,77.11536,0.74,0.41,0.57,0.67,2,1,174,50.2,1,0,None
Delhi,East Delhi,East Delhi East,28.5812,77.09812,0.7,0.41,0.49,0.67,8,2,175,63.41,1,0,None
Delhi,East Delhi,East Delhi East,28.58853,77.11242,0.62,0.41,0.47,0.67,19,3,176,50.16,1,0,None
Delhi,East Delhi,East Delhi East,28.57723,77.10636,0.73,0.41,0.43,0.67,15,0,177,65.25,1,0,None
Delhi,East Delhi,East Delhi East,28.58209,77.11484,0.87,0.41,0.43,0.67,17,5,178,67.39,1,1,Stalking
Delhi,East Delhi,East Delhi East,28.58221,77.1057,0.79,0.41,0.52,0.67,19,6,179,58.23,1,1,Pickpocketing
Delhi,West Delhi,West Delhi Central,28.73886,77.18677,0.94,0.81,0.7,0.7,17,1,180,73.82,1,0,None
Delhi,West Delhi,West Delhi Central,28.74999,77.16815,0.79,0.81,0.56,0.7,5,1,181,47.29,0,0,None
Delhi,West Delhi,West Delhi Central,28.74939,77.18472,0.77,0.81,0.58,0.7,7,6,182,67.46,1,1,Eve Teasing
Delhi,West Delhi,West Delhi Central,28.7461,77.18021,0.79,0.81,0.78,0.7,23,2,183,52.59,1,0,None
Delhi,West Delhi,West Delhi Central,28.75679,77.19332,0.71,0.81,0.74,0.7,8,0,184,68.61,1,1,Stalking
Delhi,West Delhi,West Delhi Central,28.74275,77.18852,0.75,0.81,0.78,0.7,9,2,185,70.64,1,0,None
Delhi,West Delhi,West Delhi Central,28.74011,77.17737,0.88,0.81,0.73,0.7,14,1,186,75.46,2,0,None
Delhi,West Delhi,West Delhi Central,28.75271,77.18044,0.78,0.81,0.49,0.7,0,2,187,47.87,0,0,None
Delhi,West Delhi,West Delhi Central,28.73136,77.19511,0.85,0.81,0.62,0.7,19,2,188,63.13,1,0,None
Delhi,West Delhi,West Delhi Central,28.74938,77.18309,0.88,0.81,0.61,0.7,23,0,189,51.02,1,1,Pickpocketing
Delhi,West Delhi,West Delhi Central,28.73936,77.19953,0.67,0.81,0.59,0.7,19,2,190,55.46,1,0,None
Delhi,West Delhi,West Delhi Central,28.75983,77.18313,1.0,0.81,0.69,0.7,3,0,191,57.65,1,0,None
Delhi,West Delhi,West Delhi Central,28.75114,77.18024,0.79,0.81,0.71,0.7,4,6,192,50.62,1,0,None
Delhi,West Delhi,West Delhi Central,28.75936,77.19747,0.91,0.81,0.65,0.7,8,1,193,74.48,1,0,None
Delhi,West Delhi,West Delhi Central,28.74079,77.1884,0.89,0.81,0.56,0.7,8,0,194,71.87,1,0,None
Delhi,West Delhi,West Delhi West,28.6617,77.21012,0.95,0.44,0.43,0.67,10,3,195,71.32,1,0,None
Delhi,West Delhi,West Delhi West,28.65641,77.21004,0.75,0.44,0.47,0.67,21,5,196,56.62,1,0,None
Delhi,West Delhi,West Delhi West,28.68526,77.19392,0.88,0.44,0.52,0.67,15,2,197,70.38,1,0,None
Delhi,West Delhi,West Delhi West,28.67468,77.22085,0.93,0.44,0.58,0.67,14,6,198,73.22,1,0,None
Delhi,West Delhi,West Delhi West,28.67218,77.21249,0.98,0.44,0.43,0.67,18,4,199,64.26,1,0,None
Delhi,West Delhi,West Delhi West,28.66871,77.20247,0.95,0.44,0.6,0.67,21,2,200,64.05,1,1,Stalking
Delhi,West Delhi,West Delhi West,28.68657,77.22166,0.96,0.44,0.52,0.67,11,6,201,72.77,1,0,None
Delhi,West Delhi,West Delhi West,28.66734,77.21958,0.93,0.44,0.47,0.67,4,5,202,54.11,1,1,Stalking
Delhi,West Delhi,West Delhi West,28.6644,77.20629,0.77,0.44,0.49,0.67,7,6,203,65.8,1,0,None
Delhi,West Delhi,West Delhi West,28.67442,77.22115,0.87,0.44,0.57,0.67,13,0,204,70.57,1,0,None
Delhi,West Delhi,West Delhi West,28.67647,77.21016,0.97,0.44,0.39,0.67,5,2,205,54.92,1,1,Eve Teasing
Delhi,West Delhi,West Delhi West,28.6756,77.2017,0.82,0.44,0.58,0.67,0,3,206,52.09,1,0,None
Delhi,West Delhi,West Delhi West,28.64965,77.2104,0.95,0.44,0.46,0.67,18,6,207,60.41,1,0,None
Delhi,West Delhi,West Delhi West,28.67169,77.20427,0.95,0.44,0.41,0.67,19,6,208,61.81,1,0,None
Delhi,West Delhi,West Delhi West,28.67019,77.21459,0.87,0.44,0.48,0.67,0,3,209,52.2,1,1,Stalking
Delhi,West Delhi,West Delhi East,28.70598,77.01225,0.65,0.35,0.5,0.61,18,5,210,54.2,1,1,Pickpocketing
Delhi,West Delhi,West Delhi East,28.70324,77.02994,0.83,0.35,0.43,0.61,1,4,211,42.25,0,1,Eve Teasing
Delhi,West Delhi,West Delhi East,28.71626,77.02494,0.8,0.35,0.45,0.61,11,0,212,67.98,1,0,None
Delhi,West Delhi,West Delhi East,28.7069,77.01124,0.71,0.35,0.49,0.61,9,6,213,65.98,1,1,Pickpocketing
Delhi,West Delhi,West Delhi East,28.71284,77.01709,0.73,0.35,0.51,0.61,14,1,214,66.71,1,1,Pickpocketing
Delhi,West Delhi,West Delhi East,28.70459,77.01865,0.73,0.35,0.52,0.61,22,0,215,39.31,0,0,None
Delhi,West Delhi,West Delhi East,28.6984,77.00767,0.87,0.35,0.58,0.61,11,2,216,71.42,1,0,None
Delhi,West Delhi,West Delhi East,28.7134,77.0312,0.73,0.35,0.4,0.61,10,5,217,64.79,1,0,None
Delhi,West Delhi,West Delhi East,28.70658,77.03757,0.84,0.35,0.71,0.61,21,2,218,64.44,1,0,None
Delhi,West Delhi,West Delhi East,28.70466,77.01056,0.75,0.35,0.39,0.61,5,4,219,36.98,0,1,Assault
Delhi,West Delhi,West Delhi East,28.7017,77.02149,0.86,0.35,0.38,0.61,22,3,220,40.43,0,1,Harassment
Delhi,West Delhi,West Delhi East,28.69637,77.01416,0.99,0.35,0.65,0.61,18,3,221,69.92,1,0,None
Delhi,West Delhi,West Delhi East,28.70851,77.03042,0.86,0.35,0.45,0.61,3,0,222,45.11,0,1,Eve Teasing
Delhi,West Delhi,West Delhi East,28.7103,77.02843,0.85,0.35,0.46,0.61,5,6,223,43.48,0,1,Eve Teasing
