state,district,taluk,latitude,longitude,streetlights,population_density,patrol_frequency,base_crime_rate
Uttar Pradesh,Agra,Agra Central,26.80234,81.22946,0.6,0.88,0.78,0.35
Uttar Pradesh,Agra,Agra West,26.80411,81.19118,0.53,0.38,0.47,0.66
Uttar Pradesh,Agra,Agra East,26.79299,81.18933,0.45,0.42,0.57,0.64
Uttar Pradesh,Prayagraj (Allahabad),Prayagraj (Allahabad) Central,26.48869,81.31507,0.7,0.81,0.71,0.51
Uttar Pradesh,Prayagraj (Allahabad),Prayagraj (Allahabad) West,26.42617,81.37073,0.5,0.37,0.4,0.56
Uttar Pradesh,Prayagraj (Allahabad),Prayagraj (Allahabad) East,26.84239,81.2913,0.53,0.44,0.48,0.45
Uttar Pradesh,Meerut,Meerut Central,26.68157,80.80388,0.68,0.8,0.69,0.53
Uttar Pradesh,Meerut,Meerut West,26.78637,80.8197,0.51,0.33,0.36,0.71
Uttar Pradesh,Meerut,Meerut East,26.56335,80.82597,0.44,0.34,0.41,0.54
Uttar Pradesh,Ghaziabad,Ghaziabad Central,26.89344,80.87734,0.58,0.88,0.63,0.59
Uttar Pradesh,Ghaziabad,Ghaziabad West,26.90081,81.1429,0.57,0.43,0.52,0.7
Uttar Pradesh,Ghaziabad,Ghaziabad East,26.86655,80.98737,0.48,0.44,0.47,0.47
Uttar Pradesh,Bareilly,Bareilly Central,26.93609,81.11617,0.66,0.76,0.62,0.51
Uttar Pradesh,Bareilly,Bareilly West,26.82647,81.01495,0.49,0.37,0.42,0.42
Uttar Pradesh,Bareilly,Bareilly East,26.7361,81.03565,0.52,0.39,0.41,0.64
Uttar Pradesh,Gorakhpur,Gorakhpur Central,26.95795,81.15497,0.7,0.82,0.66,0.56
Uttar Pradesh,Gorakhpur,Gorakhpur West,26.91491,81.08808,0.54,0.4,0.49,0.64
Uttar Pradesh,Gorakhpur,Gorakhpur East,26.8757,81.13451,0.49,0.4,0.42,0.5
Uttar Pradesh,Aligarh,Aligarh Central,26.96849,80.80215,0.71,0.77,0.66,0.57
Uttar Pradesh,Aligarh,Aligarh West,26.75159,80.74385,0.52,0.37,0.49,0.58
Uttar Pradesh,Aligarh,Aligarh East,26.94019,80.80726,0.62,0.41,0.39,0.62
Uttar Pradesh,Mathura,Mathura Central,26.92319,80.61134,0.64,0.85,0.65,0.53
Uttar Pradesh,Mathura,Mathura West,26.97476,80.5652,0.46,0.41,0.44,0.56
Uttar Pradesh,Mathura,Mathura East,27.21314,80.59901,0.43,0.4,0.49,0.5
Punjab,Amritsar,Amritsar Central,30.35023,76.8034,0.78,0.79,0.69,0.39
Punjab,Amritsar,Amritsar West,30.38804,76.8186,0.56,0.39,0.53,0.37
Punjab,Amritsar,Amritsar East,30.50799,76.75144,0.58,0.34,0.54,0.42
Punjab,Ludhiana,Ludhiana Central,30.87953,76.65528,0.64,0.68,0.7,0.4
Punjab,Ludhiana,Ludhiana West,30.86401,76.9308,0.62,0.45,0.36,0.53
Punjab,Ludhiana,Ludhiana East,30.77297,76.74368,0.65,0.35,0.41,0.44
Punjab,Jalandhar,Jalandhar Central,30.65824,76.74537,0.78,0.82,0.71,0.27
Punjab,Jalandhar,Jalandhar West,30.68172,76.81623,0.55,0.33,0.41,0.33
Punjab,Jalandhar,Jalandhar East,30.67003,76.6332,0.62,0.38,0.46,0.29
Punjab,Patiala,Patiala Central,30.5286,77.04289,0.71,0.81,0.72,0.34
Punjab,Patiala,Patiala West,30.83016,76.73976,0.64,0.38,0.48,0.33
Punjab,Patiala,Patiala East,30.70225,76.97925,0.62,0.43,0.49,0.44
Punjab,Bathinda,Bathinda Central,31.06527,76.95965,0.73,0.86,0.74,0.27
Punjab,Bathinda,Bathinda West,31.02751,77.03344,0.64,0.39,0.42,0.4
Punjab,Bathinda,Bathinda East,31.06567,77.10283,0.57,0.44,0.46,0.41
Punjab,Mohali,Mohali Central,30.38754,76.5399,0.71,0.75,0.67,0.39
Punjab,Mohali,Mohali West,30.39248,76.50429,0.6,0.31,0.49,0.27
Punjab,Mohali,Mohali East,30.42881,76.5366,0.56,0.45,0.45,0.35
Punjab,Hoshiarpur,Hoshiarpur Central,30.79391,76.67265,0.7,0.86,0.68,0.32
Punjab,Hoshiarpur,Hoshiarpur West,30.71998,76.77633,0.56,0.49,0.45,0.53
Punjab,Hoshiarpur,Hoshiarpur East,30.87504,76.84,0.6,0.39,0.46,0.41
Punjab,Pathankot,Pathankot Central,30.68181,76.89191,0.8,0.78,0.73,0.35
Punjab,Pathankot,Pathankot West,30.63031,76.97653,0.68,0.41,0.45,0.35
Punjab,Pathankot,Pathankot East,30.58856,76.7229,0.53,0.46,0.43,0.41
Haryana,Gurugram,Gurugram Central,30.35023,76.8034,0.76,0.79,0.69,0.53
Haryana,Gurugram,Gurugram West,30.38804,76.8186,0.64,0.45,0.47,0.54
Haryana,Gurugram,Gurugram East,30.50799,76.75144,0.65,0.46,0.46,0.65
Haryana,Faridabad,Faridabad Central,30.87953,76.65528,0.62,0.68,0.7,0.54
Haryana,Faridabad,Faridabad West,30.86401,76.9308,0.55,0.41,0.57,0.67
Haryana,Faridabad,Faridabad East,30.77297,76.74368,0.64,0.34,0.33,0.57
Haryana,Panipat,Panipat Central,30.65824,76.74537,0.76,0.82,0.71,0.41
Haryana,Panipat,Panipat West,30.68172,76.81623,0.55,0.44,0.49,0.51
Haryana,Panipat,Panipat East,30.67003,76.6332,0.57,0.42,0.49,0.63
Haryana,Ambala,Ambala Central,30.5286,77.04289,0.69,0.81,0.72,0.48
Haryana,Ambala,Ambala West,30.83016,76.73976,0.57,0.49,0.37,0.5
Haryana,Ambala,Ambala East,30.70225,76.97925,0.67,0.38,0.4,0.45
Haryana,Panchkula,Panchkula Central,31.06527,76.95965,0.71,0.86,0.74,0.41
Haryana,Panchkula,Panchkula West,31.02751,77.03344,0.62,0.41,0.48,0.34
Haryana,Panchkula,Panchkula East,31.06567,77.10283,0.63,0.34,0.35,0.54
Haryana,Rohtak,Rohtak Central,30.38754,76.5399,0.69,0.75,0.67,0.53
Haryana,Rohtak,Rohtak West,30.39248,76.50429,0.63,0.39,0.48,0.46
Haryana,Rohtak,Rohtak East,30.42881,76.5366,0.65,0.44,0.45,0.45
Haryana,Karnal,Karnal Central,30.79391,76.67265,0.68,0.86,0.68,0.46
Haryana,Karnal,Karnal West,30.71998,76.77633,0.6,0.37,0.5,0.54
Haryana,Karnal,Karnal East,30.87504,76.84,0.55,0.42,0.43,0.51
Haryana,Sonipat,Sonipat Central,30.68181,76.89191,0.78,0.78,0.73,0.49
Haryana,Sonipat,Sonipat West,30.63031,76.97653,0.6,0.36,0.5,0.54
Haryana,Sonipat,Sonipat East,30.58856,76.7229,0.63,0.41,0.41,0.66
Himachal Pradesh,Shimla,Shimla Central,31.08921,77.01664,0.59,0.73,0.7,0.44
Himachal Pradesh,Shimla,Shimla West,31.23007,76.99038,0.46,0.37,0.46,0.36
Himachal Pradesh,Shimla,Shimla East,31.11739,76.93308,0.45,0.48,0.45,0.34
Himachal Pradesh,Kangra,Kangra Central,31.09465,77.22512,0.59,0.75,0.71,0.26
Himachal Pradesh,Kangra,Kangra West,31.02954,77.203,0.44,0.4,0.42,0.34
Himachal Pradesh,Kangra,Kangra East,31.12007,77.13542,0.52,0.47,0.44,0.2
Himachal Pradesh,Mandi,Mandi Central,31.34923,77.00492,0.63,0.74,0.6,0.36
Himachal Pradesh,Mandi,Mandi West,31.42844,77.03692,0.51,0.41,0.49,0.34
Himachal Pradesh,Mandi,Mandi East,31.45289,77.04784,0.42,0.46,0.42,0.24
Himachal Pradesh,Solan,Solan Central,31.15447,76.91794,0.62,0.78,0.7,0.27
Himachal Pradesh,Solan,Solan West,31.03256,76.9074,0.44,0.37,0.48,0.31
Himachal Pradesh,Solan,Solan East,30.92085,77.03134,0.37,0.39,0.45,0.42
Himachal Pradesh,Kullu,Kullu Central,31.04667,77.08003,0.59,0.73,0.7,0.44
Himachal Pradesh,Kullu,Kullu West,31.18752,77.05377,0.38,0.43,0.49,0.2
Himachal Pradesh,Kullu,Kullu East,31.07484,76.99647,0.49,0.43,0.47,0.42
Himachal Pradesh,Chamba,Chamba Central,31.30307,76.96036,0.59,0.86,0.65,0.29
Himachal Pradesh,Chamba,Chamba West,31.37188,77.02418,0.37,0.44,0.55,0.35
Himachal Pradesh,Chamba,Chamba East,31.3886,77.05419,0.42,0.34,0.45,0.23
Himachal Pradesh,Hamirpur,Hamirpur Central,31.11214,76.92002,0.59,0.81,0.73,0.25
Himachal Pradesh,Hamirpur,Hamirpur West,31.2901,76.98073,0.37,0.42,0.48,0.23
Himachal Pradesh,Hamirpur,Hamirpur East,31.31449,76.89237,0.51,0.42,0.43,0.34
Himachal Pradesh,Una,Una Central,30.97593,76.84833,0.62,0.75,0.73,0.4
Himachal Pradesh,Una,Una West,31.11255,76.9098,0.5,0.4,0.49,0.26
Himachal Pradesh,Una,Una East,30.83243,76.85678,0.43,0.43,0.39,0.34
Uttarakhand,Dehradun,Dehradun Central,30.49538,77.98725,0.65,0.72,0.6,0.34
Uttarakhand,Dehradun,Dehradun West,30.42638,77.99292,0.47,0.34,0.42,0.39
Uttarakhand,Dehradun,Dehradun East,30.42825,77.95593,0.38,0.39,0.41,0.41
Uttarakhand,Haridwar,Haridwar Central,30.50842,77.83008,0.58,0.82,0.66,0.36
Uttarakhand,Haridwar,Haridwar West,30.49405,78.02976,0.46,0.42,0.47,0.41
Uttarakhand,Haridwar,Haridwar East,30.59031,77.87745,0.52,0.39,0.43,0.32
Uttarakhand,Nainital,Nainital Central,30.25931,78.05782,0.69,0.77,0.76,0.28
Uttarakhand,Nainital,Nainital West,30.24713,78.07512,0.42,0.32,0.38,0.31
Uttarakhand,Nainital,Nainital East,30.48631,77.94506,0.55,0.41,0.33,0.3
Uttarakhand,Udham Singh Nagar,Udham Singh Nagar Central,30.30598,77.86557,0.69,0.85,0.75,0.32
Uttarakhand,Udham Singh Nagar,Udham Singh Nagar West,30.39222,77.94444,0.58,0.4,0.48,0.48
Uttarakhand,Udham Singh Nagar,Udham Singh Nagar East,30.47979,77.83834,0.5,0.41,0.42,0.29
Uttarakhand,Rishikesh,Rishikesh Central,30.07526,78.10095,0.57,0.84,0.7,0.48
Uttarakhand,Rishikesh,Rishikesh West,30.28351,78.06851,0.47,0.36,0.47,0.36
Uttarakhand,Rishikesh,Rishikesh East,30.12891,78.10882,0.46,0.23,0.43,0.31
Uttarakhand,Pithoragarh,Pithoragarh Central,30.51639,78.35578,0.57,0.83,0.71,0.23
Uttarakhand,Pithoragarh,Pithoragarh West,30.52364,78.25521,0.45,0.4,0.45,0.44
Uttarakhand,Pithoragarh,Pithoragarh East,30.53245,78.30947,0.47,0.38,0.48,0.41
Uttarakhand,Almora,Almora Central,30.28199,78.33406,0.69,0.85,0.75,0.32
Uttarakhand,Almora,Almora West,30.36822,78.41294,0.4,0.43,0.32,0.27
Uttarakhand,Almora,Almora East,30.4558,78.30683,0.47,0.4,0.49,0.31
Jammu and Kashmir,Srinagar,Srinagar Central,34.04243,74.89124,0.53,0.73,0.76,0.47
Jammu and Kashmir,Srinagar,Srinagar West,33.96754,74.77848,0.48,0.41,0.48,0.52
Jammu and Kashmir,Srinagar,Srinagar East,33.95316,74.77214,0.36,0.34,0.44,0.47
Jammu and Kashmir,Jammu,Jammu Central,33.83478,74.92397,0.5,0.83,0.69,0.49
Jammu and Kashmir,Jammu,Jammu West,33.76016,74.85586,0.42,0.37,0.49,0.52
Jammu and Kashmir,Jammu,Jammu East,33.82493,74.68633,0.42,0.32,0.5,0.36
Jammu and Kashmir,Anantnag,Anantnag Central,34.38383,74.60427,0.55,0.9,0.67,0.41
Jammu and Kashmir,Anantnag,Anantnag West,34.26796,74.5332,0.43,0.45,0.41,0.34
Jammu and Kashmir,Anantnag,Anantnag East,34.43982,74.64523,0.33,0.39,0.48,0.52
Jammu and Kashmir,Baramulla,Baramulla Central,34.0111,74.70634,0.56,0.73,0.75,0.46
Jammu and Kashmir,Baramulla,Baramulla West,34.03214,74.71741,0.35,0.43,0.44,0.52
Jammu and Kashmir,Baramulla,Baramulla East,33.98873,74.86655,0.39,0.47,0.44,0.51
Jammu and Kashmir,Kathua,Kathua Central,34.32858,75.12664,0.49,0.71,0.67,0.37
Jammu and Kashmir,Kathua,Kathua West,34.39609,75.07726,0.37,0.4,0.43,0.35
Jammu and Kashmir,Kathua,Kathua East,34.35176,75.13539,0.38,0.44,0.49,0.44
Jammu and Kashmir,Udhampur,Udhampur Central,34.06355,74.57662,0.54,0.77,0.72,0.41
Jammu and Kashmir,Udhampur,Udhampur West,34.07702,74.73479,0.43,0.38,0.43,0.46
Jammu and Kashmir,Udhampur,Udhampur East,34.31127,74.71291,0.39,0.45,0.52,0.46
Jammu and Kashmir,Pulwama,Pulwama Central,34.2856,74.73957,0.59,0.85,0.73,0.54
Jammu and Kashmir,Pulwama,Pulwama West,34.30838,74.8211,0.39,0.36,0.41,0.54
Jammu and Kashmir,Pulwama,Pulwama East,34.28722,74.73189,0.49,0.42,0.53,0.35
Jammu and Kashmir,Kupwara,Kupwara Central,34.24905,74.70791,0.49,0.75,0.76,0.47
Jammu and Kashmir,Kupwara,Kupwara West,34.14716,74.69365,0.4,0.4,0.47,0.53
Jammu and Kashmir,Kupwara,Kupwara East,34.16612,74.60573,0.4,0.47,0.39,0.42
Ladakh,Leh,Leh Central,34.11294,77.37568,0.44,0.77,0.72,0.11
Ladakh,Leh,Leh West,34.1264,77.53385,0.36,0.35,0.42,0.14
Ladakh,Leh,Leh East,34.36066,77.51197,0.37,0.37,0.38,0.18
Ladakh,Kargil,Kargil Central,34.02538,77.91425,0.46,0.73,0.75,0.16
Ladakh,Kargil,Kargil West,34.04642,77.92532,0.42,0.42,0.43,0.07
Ladakh,Kargil,Kargil East,34.00301,78.07445,0.25,0.38,0.37,0.23
Chandigarh,Chandigarh District,Chandigarh District Central,30.78838,76.87832,0.86,0.71,0.68,0.35
Chandigarh,Chandigarh District,Chandigarh District West,30.77837,76.7435,0.78,0.42,0.5,0.32
Chandigarh,Chandigarh District,Chandigarh District East,30.93913,76.86874,0.7,0.44,0.46,0.39
Maharashtra,Mumbai City,Mumbai City Central,18.94637,72.91075,0.82,0.86,0.71,0.39
Maharashtra,Mumbai City,Mumbai City West,19.26583,72.81831,0.71,0.33,0.34,0.5
Maharashtra,Mumbai City,Mumbai City East,19.20614,72.98096,0.75,0.37,0.51,0.5
Maharashtra,Mumbai Suburban,Mumbai Suburban Central,18.95184,73.17144,0.79,0.83,0.7,0.44
Maharashtra,Mumbai Suburban,Mumbai Suburban West,18.92241,73.02078,0.65,0.42,0.51,0.44
Maharashtra,Mumbai Suburban,Mumbai Suburban East,18.95224,73.24746,0.79,0.37,0.46,0.35
Maharashtra,Pune,Pune Central,19.4588,72.77025,0.79,0.77,0.67,0.51
Maharashtra,Pune,Pune West,19.30413,72.78219,0.74,0.32,0.46,0.63
Maharashtra,Pune,Pune East,19.28785,72.76504,0.69,0.42,0.43,0.31
Maharashtra,Thane,Thane Central,19.10797,73.02119,0.86,0.9,0.72,0.61
Maharashtra,Thane,Thane West,19.09894,73.06919,0.66,0.45,0.38,0.46
Maharashtra,Thane,Thane East,19.08058,73.05837,0.73,0.41,0.39,0.43
Maharashtra,Nagpur,Nagpur Central,19.03169,72.77805,0.82,0.78,0.64,0.37
Maharashtra,Nagpur,Nagpur West,18.96163,72.77542,0.66,0.33,0.36,0.48
Maharashtra,Nagpur,Nagpur East,19.00758,72.78718,0.67,0.32,0.44,0.53
Maharashtra,Nashik,Nashik Central,19.03873,72.6822,0.89,0.76,0.71,0.49
Maharashtra,Nashik,Nashik West,19.0913,72.92061,0.72,0.44,0.43,0.45
Maharashtra,Nashik,Nashik East,19.13843,72.75186,0.74,0.4,0.45,0.37
Maharashtra,Aurangabad,Aurangabad Central,18.83783,73.29549,0.85,0.78,0.64,0.35
Maharashtra,Aurangabad,Aurangabad West,18.77257,73.09028,0.64,0.43,0.53,0.57
Maharashtra,Aurangabad,Aurangabad East,18.83511,73.39153,0.69,0.37,0.4,0.43
Maharashtra,Solapur,Solapur Central,19.08438,72.83249,0.9,0.73,0.74,0.49
Maharashtra,Solapur,Solapur West,18.97804,72.9143,0.76,0.46,0.45,0.35
Maharashtra,Solapur,Solapur East,18.9359,72.86876,0.71,0.41,0.47,0.51
Maharashtra,Amravati,Amravati Central,18.94396,73.10977,0.86,0.83,0.73,0.46
Maharashtra,Amravati,Amravati West,18.86614,73.0227,0.73,0.4,0.47,0.46
Maharashtra,Amravati,Amravati East,18.82167,72.97801,0.71,0.43,0.44,0.46
Maharashtra,Kolhapur,Kolhapur Central,18.92056,72.57673,0.95,0.78,0.69,0.4
Maharashtra,Kolhapur,Kolhapur West,18.9822,72.67849,0.82,0.33,0.4,0.45
Maharashtra,Kolhapur,Kolhapur East,19.01579,72.82981,0.72,0.43,0.38,0.42
Maharashtra,Navi Mumbai,Navi Mumbai Central,18.92602,72.70669,0.86,0.83,0.73,0.46
Maharashtra,Navi Mumbai,Navi Mumbai West,18.8482,72.61962,0.6,0.4,0.48,0.27
Maharashtra,Navi Mumbai,Navi Mumbai East,18.80373,72.57493,0.71,0.39,0.42,0.59
Gujarat,Ahmedabad,Ahmedabad Central,23.18192,72.65702,0.79,0.81,0.78,0.32
Gujarat,Ahmedabad,Ahmedabad West,23.0741,72.69665,0.6,0.33,0.4,0.33
Gujarat,Ahmedabad,Ahmedabad East,23.07001,72.67482,0.7,0.42,0.49,0.52
Gujarat,Surat,Surat Central,22.88378,72.68789,0.78,0.73,0.74,0.41
Gujarat,Surat,Surat West,22.91169,72.56298,0.64,0.31,0.51,0.29
Gujarat,Surat,Surat East,22.9527,72.70542,0.56,0.48,0.44,0.27
Gujarat,Vadodara,Vadodara Central,23.16172,72.7092,0.79,0.81,0.78,0.32
Gujarat,Vadodara,Vadodara West,23.0539,72.74882,0.58,0.45,0.4,0.2
Gujarat,Vadodara,Vadodara East,23.04982,72.72699,0.73,0.41,0.44,0.29
Gujarat,Rajkot,Rajkot Central,23.2851,72.70587,0.83,0.75,0.72,0.44
Gujarat,Rajkot,Rajkot West,23.44283,72.69715,0.57,0.43,0.57,0.41
Gujarat,Rajkot,Rajkot East,23.43186,72.76382,0.62,0.38,0.43,0.4
Gujarat,Gandhinagar,Gandhinagar Central,23.3352,72.97823,0.74,0.8,0.66,0.41
Gujarat,Gandhinagar,Gandhinagar West,23.5528,72.96224,0.64,0.37,0.38,0.33
Gujarat,Gandhinagar,Gandhinagar East,23.31995,73.01329,0.71,0.36,0.41,0.37
Gujarat,Bhavnagar,Bhavnagar Central,22.97094,72.8074,0.71,0.77,0.68,0.3
Gujarat,Bhavnagar,Bhavnagar West,23.1894,72.75499,0.61,0.35,0.44,0.42
Gujarat,Bhavnagar,Bhavnagar East,23.17622,72.70425,0.64,0.33,0.35,0.37
Gujarat,Jamnagar,Jamnagar Central,23.20748,72.47372,0.71,0.67,0.63,0.17
Gujarat,Jamnagar,Jamnagar West,23.34851,72.57395,0.61,0.42,0.49,0.38
Gujarat,Jamnagar,Jamnagar East,23.16271,72.44154,0.53,0.35,0.43,0.45
Gujarat,Anand,Anand Central,23.54719,72.58127,0.72,0.76,0.66,0.31
Gujarat,Anand,Anand West,23.35195,72.58115,0.7,0.41,0.5,0.34
Gujarat,Anand,Anand East,23.51109,72.64935,0.64,0.44,0.49,0.32
Rajasthan,Jaipur,Jaipur Central,26.89525,75.66829,0.6,0.85,0.71,0.58
Rajasthan,Jaipur,Jaipur West,26.75232,75.66107,0.47,0.41,0.53,0.55
Rajasthan,Jaipur,Jaipur East,26.89619,75.73811,0.4,0.36,0.48,0.46
Rajasthan,Jodhpur,Jodhpur Central,27.34626,75.5648,0.62,0.68,0.78,0.61
Rajasthan,Jodhpur,Jodhpur West,27.35841,75.64276,0.47,0.46,0.37,0.68
Rajasthan,Jodhpur,Jodhpur East,27.41267,75.53774,0.57,0.34,0.44,0.61
Rajasthan,Udaipur,Udaipur Central,27.07861,76.0625,0.64,0.73,0.73,0.5
Rajasthan,Udaipur,Udaipur West,26.92233,76.06638,0.45,0.39,0.41,0.56
Rajasthan,Udaipur,Udaipur East,27.12155,75.96476,0.47,0.41,0.44,0.61
Rajasthan,Kota,Kota Central,27.1436,75.81378,0.64,0.82,0.76,0.52
Rajasthan,Kota,Kota West,27.11802,75.85844,0.59,0.34,0.42,0.55
Rajasthan,Kota,Kota East,27.04398,75.77137,0.52,0.41,0.49,0.46
Rajasthan,Ajmer,Ajmer Central,27.00056,75.76568,0.68,0.82,0.66,0.58
Rajasthan,Ajmer,Ajmer West,26.95752,75.69879,0.44,0.34,0.39,0.48
Rajasthan,Ajmer,Ajmer East,26.91831,75.74522,0.41,0.45,0.5,0.51
Rajasthan,Bikaner,Bikaner Central,27.08183,75.61426,0.63,0.74,0.6,0.5
Rajasthan,Bikaner,Bikaner West,27.04661,75.70876,0.51,0.38,0.44,0.56
Rajasthan,Bikaner,Bikaner East,26.96606,75.69019,0.49,0.47,0.44,0.53
Rajasthan,Alwar,Alwar Central,27.07658,75.90729,0.63,0.74,0.6,0.5
Rajasthan,Alwar,Alwar West,27.04136,76.00179,0.59,0.36,0.5,0.49
Rajasthan,Alwar,Alwar East,26.96081,75.98322,0.5,0.37,0.48,0.69
Rajasthan,Sikar,Sikar Central,26.61011,75.71028,0.56,0.84,0.68,0.6
Rajasthan,Sikar,Sikar West,26.67695,75.75953,0.49,0.37,0.32,0.5
Rajasthan,Sikar,Sikar East,26.61496,75.69428,0.52,0.36,0.47,0.59
Rajasthan,Bhilwara,Bhilwara Central,26.97674,75.70702,0.55,0.78,0.63,0.71
Rajasthan,Bhilwara,Bhilwara West,26.94284,75.76832,0.44,0.39,0.38,0.59
Rajasthan,Bhilwara,Bhilwara East,27.10852,75.7682,0.47,0.46,0.37,0.63
Rajasthan,Jaisalmer,Jaisalmer Central,26.9631,75.90103,0.55,0.78,0.63,0.71
Rajasthan,Jaisalmer,Jaisalmer West,26.9292,75.96234,0.53,0.26,0.32,0.61
Rajasthan,Jaisalmer,Jaisalmer East,27.09489,75.96221,0.43,0.48,0.45,0.63
Madhya Pradesh,Bhopal,Bhopal Central,23.02272,77.46999,0.54,0.77,0.68,0.51
Madhya Pradesh,Bhopal,Bhopal West,23.24118,77.41758,0.4,0.3,0.43,0.54
Madhya Pradesh,Bhopal,Bhopal East,23.228,77.36685,0.48,0.44,0.41,0.53
Madhya Pradesh,Indore,Indore Central,23.12013,77.5926,0.53,0.79,0.73,0.53
Madhya Pradesh,Indore,Indore West,22.94366,77.65983,0.44,0.44,0.49,0.44
Madhya Pradesh,Indore,Indore East,22.86578,77.52347,0.42,0.45,0.45,0.57
Madhya Pradesh,Jabalpur,Jabalpur Central,23.00252,77.52216,0.54,0.77,0.68,0.51
Madhya Pradesh,Jabalpur,Jabalpur West,23.22098,77.46976,0.51,0.29,0.51,0.53
Madhya Pradesh,Jabalpur,Jabalpur East,23.2078,77.41902,0.4,0.43,0.43,0.41
Madhya Pradesh,Gwalior,Gwalior Central,23.29783,77.62671,0.63,0.71,0.72,0.72
Madhya Pradesh,Gwalior,Gwalior West,23.34064,77.54257,0.43,0.42,0.51,0.55
Madhya Pradesh,Gwalior,Gwalior East,23.33302,77.46304,0.44,0.47,0.45,0.51
Madhya Pradesh,Ujjain,Ujjain Central,23.50292,77.7529,0.64,0.74,0.69,0.54
Madhya Pradesh,Ujjain,Ujjain West,23.3534,77.60607,0.44,0.43,0.41,0.48
Madhya Pradesh,Ujjain,Ujjain East,23.35261,77.62852,0.52,0.36,0.46,0.52
Madhya Pradesh,Sagar,Sagar Central,23.14151,77.55127,0.46,0.85,0.67,0.52
Madhya Pradesh,Sagar,Sagar West,23.06002,77.75515,0.36,0.39,0.48,0.43
Madhya Pradesh,Sagar,Sagar East,23.03547,77.59365,0.41,0.33,0.51,0.57
